;Preço_hoje;Liquidez_media;P/L;P/VP;Dy 12m 2021;Dl/Pl_hoje;Lpa_2020;Lpa_2019;Setor;Sub_setor
LUXM4;81,03;64.863,19;27,64;4,12;1,98%;-0,09;1,62;2,50;Bens Industriais;Transporte
LWSA3;13,82;172.842.439,20;19.308,10;2,76;0,23%;-0,57;0,16;-;Tecnologia da Informação;Programas e Serviços
MAPT3;37,00;14.800,00;-197,67;-5,76;-%;-;-0,19;-0,18;Financeiro e Outros;Outros
MAPT4;37,95;7.590,00;-202,74;-5,91;-%;-;-0,19;-0,18;Financeiro e Outros;Outros
MDIA3;28,07;40.680.236,96;16,90;1,38;2,16%;0,00;2,25;1,64;Consumo não Cíclico;Alimentos Processados
MDNE3;5,17;1.651.018,96;5,77;0,41;-%;-0,05;-1,18;-0,24;Consumo Cíclico;Construção Civil
MEAL3;2,77;7.305.137,40;-10,13;0,69;-%;0,15;-1,65;-0,10;Consumo Cíclico;Hoteis e Restaurantes
MELK3;4,18;3.006.839,00;16,20;0,74;5,12%;-0,43;0,20;-;Consumo Cíclico;Construção Civil
MERC3;25,00;5.030,00;160,17;1,82;-%;-;0,49;1,00;Financeiro e Outros;Intermediários Financeiros
MERC4;10,58;6.561,40;67,79;0,77;4,89%;-;0,49;1,00;Financeiro e Outros;Intermediários Financeiros
MGEL3;19,13;-;0,53;-0,41;-%;-;-5,36;-0,38;Materiais Básicos;Siderurgia e Metalurgia
MGEL4;13,41;35.409,52;0,37;-0,29;-%;-;-5,36;-0,38;Materiais Básicos;Siderurgia e Metalurgia
MGLU3;7,62;808.287.666,92;70,91;4,68;0,55%;0,02;0,06;0,57;Consumo Cíclico;Comércio
MILS3;6,13;7.866.062,68;23,27;1,42;3,06%;-0,10;-0,02;-0,18;Bens Industriais;Serviços
MMAQ3;0,00;-;0,00;0,00;-%;-0,16;446,27;403,37;Bens Industriais;Comércio
MMAQ4;49,73;-;0,06;0,01;437,39%;-0,16;446,27;403,37;Bens Industriais;Comércio
MMXM3;14,00;6.294.058,38;-2,17;-0,11;-%;-;-12,46;-18,56;Materiais Básicos;Mineração
